match_id,home_team,away_team,home_goals,away_goals,played,winner
73,South Africa,Canada,0.0,1.0,1,away
74,Brazil,Japan,2.0,1.0,1,home
75,Germany,Paraguay,1.0,1.0,1,away
76,Netherlands,Morocco,1.0,1.0,1,away
77,Côte d'Ivoire,Norway,,,0,
78,France,Sweden,,,0,
79,Mexico,Ecuador,,,0,
80,England,Congo DR,,,0,
81,Belgium,Senegal,,,0,
82,USA,Bosnia and Herzegovina,,,0,
83,Spain,Austria,,,0,
84,Portugal,Croatia,,,0,
85,Switzerland,Algeria,,,0,
86,Australia,Egypt,,,0,
87,Argentina,Cabo Verde,,,0,
88,Colombia,Ghana,,,0,
