team,prior_power,games_played,avg_surprise,power_shift,calibrated_power
France,97,1,1.11,1.2,98.2
Argentina,95,1,2.11,2.3,97.3
Spain,97,1,-0.89,-1.0,96.0
Germany,90,1,5.11,5.6,95.6
England,93,1,1.39,1.5,94.5
Brazil,94,1,-0.73,-0.8,93.2
Portugal,91,1,-0.89,-1.0,90.0
Netherlands,88,1,-0.43,-0.5,87.5
Belgium,86,1,-0.61,-0.7,85.3
Colombia,84,1,1.11,1.2,85.2
Norway,81,1,2.27,2.5,83.5
Uruguay,84,1,-0.85,-0.9,83.1
Morocco,82,1,0.73,0.8,82.8
USA,80,1,2.55,2.8,82.8
Sweden,78,1,3.57,3.9,81.9
Croatia,83,1,-1.39,-1.5,81.5
Japan,81,1,0.43,0.5,81.5
Switzerland,82,1,-0.85,-0.9,81.1
Mexico,79,1,1.25,1.4,80.4
Austria,79,1,1.15,1.3,80.3
Senegal,80,1,-1.11,-1.2,78.8
Côte d'Ivoire,77,1,1.13,1.2,78.2
Ecuador,79,1,-1.13,-1.2,77.8
South Korea,77,1,0.75,0.8,77.8
Egypt,76,1,0.61,0.7,76.7
Australia,74,1,2.25,2.5,76.5
Türkiye,78,1,-2.25,-2.5,75.5
Canada,75,1,-0.39,-0.4,74.6
Ghana,73,1,0.63,0.7,73.7
Scotland,73,1,0.33,0.4,73.4
Iran,74,1,-0.61,-0.7,73.3
Paraguay,76,1,-2.55,-2.8,73.2
Bosnia and Herzegovina,72,1,0.39,0.4,72.4
Czechia,73,1,-0.75,-0.8,72.2
Algeria,74,1,-2.11,-2.3,71.7
Saudi Arabia,70,1,0.85,0.9,70.9
Congo DR,69,1,0.89,1.0,70.0
Qatar,68,1,0.85,0.9,68.9
South Africa,70,1,-1.25,-1.4,68.6
Tunisia,71,1,-3.57,-3.9,67.1
Uzbekistan,68,1,-1.11,-1.2,66.8
Iraq,69,1,-2.27,-2.5,66.5
Panama,67,1,-0.63,-0.7,66.3
Cabo Verde,64,1,0.89,1.0,65.0
New Zealand,64,1,0.61,0.7,64.7
Jordan,65,1,-1.15,-1.3,63.7
Haiti,62,1,-0.33,-0.4,61.6
Curaçao,61,1,-5.11,-5.6,55.4
